Symbol,Category,Asset Class,Asset Class Size,Asset Class Style,Region (General),Region (Specific),Sector (General)
UBR,Leveraged Equities,Equity,Large-Cap,Blend,Latin America,Brazil,
NFTY,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,India,
REW,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
EZJ,Leveraged Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Japan,
DFVL,Leveraged Bonds,Bond,,,North America,U.S.,
EEV,Leveraged Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
FWDB,Total Bond Market,Bond,,,North America,U.S.,
SBB,Inverse Equities,Equity,Micro-Cap,Blend,North America,U.S.,
FTLB,Long-Short,Equity,Multi-Cap,Blend,Developed Markets,Broad,
SMDD,Leveraged Equities,Equity,Small-Cap,Blend,North America,U.S.,
TAGS,Agricultural Commodities,Commodity,,,,,
EWV,Leveraged Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Japan,
RJZ,Metals,Commodity,,,,,
CHIM,China Equities,Equity,Multi-Cap,Blend,Emerging Asia Pacific,China,Materials
UPV,Leveraged Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,
RALS,Long-Short,Alternatives,Large-Cap,Blend,North America,U.S.,
MCRO,Global Equities,Alternatives,,,Developed Markets,Broad,
FTAG,Large Cap Blend Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,Materials
GRU,Agricultural Commodities,Commodity,,,,,
DWAT,Diversified Portfolio,Multi-Asset,Multi-Cap,Blend,North America,U.S.,
WIL,Global Equities,Equity,Large-Cap,Blend,North America,U.S.,
ULE,Leveraged Currency,Currency,,,Developed Europe,Broad,
YXI,Inverse Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,
RJN,Oil & Gas,Commodity,,,,,
DDG,Inverse Equities,Equity,Multi-Cap,Value,North America,U.S.,Energy
SSG,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
CHIE,China Equities,Equity,Multi-Cap,Blend,Emerging Asia Pacific,China,Energy
YCL,Leveraged Currency,Currency,,,Developed Asia Pacific,Japan,
DFVS,Inverse Bonds,Bond,,,North America,U.S.,
SDP,Leveraged Equities,Equity,Multi-Cap,Value,North America,U.S.,Utilities
RODI,Global Equities,Equity,Large-Cap,Blend,North America,U.S.,
CHII,China Equities,Equity,Multi-Cap,Blend,Emerging Asia Pacific,China,Industrials
LTL,Leveraged Equities,Equity,Multi-Cap,Blend,North America,U.S.,Telecom
SDD,Leveraged Equities,Equity,Micro-Cap,Blend,North America,U.S.,
CROC,Leveraged Currency,Currency,,,Developed Asia Pacific,Australia,
MZZ,Leveraged Equities,Equity,Small-Cap,Blend,North America,U.S.,
EUFX,Currency,Currency,,,Developed Europe,Broad,
SMN,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,Materials
EFU,Leveraged Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,
RXD,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,Healthcare
EEH,Global Equities,Equity,Large-Cap,Blend,North America,U.S.,
SBM,Inverse Equities,Equity,Large-Cap,Blend,North America,U.S.,Materials
SZK,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,Consumer Staples
SIJ,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,Industrials
SCC,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,Consumer Discretionary
FUE,Agricultural Commodities,Commodity,,,,,
LD,Metals,Commodity,,,,,
