Symbol,Category,Asset Class,Asset Class Size,Asset Class Style,Region (General),Region (Specific),Sector (General)
SLYV,Small Cap Value Equities,Equity,Micro-Cap,Blend,North America,U.S.,
SRLN,High Yield Bonds,Bond,,,Developed Markets,Broad,
KBE,Financials Equities,Equity,Multi-Cap,Value,North America,U.S.,Financials
DBEF,Hedge Fund,Equity,Multi-Cap,Blend,Developed Markets,EAFE,
ONEQ,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
EWC,Global Equities,Equity,Multi-Cap,Blend,North America,Canada,
XOP,Energy Equities,Equity,Multi-Cap,Blend,North America,U.S.,Energy
KWEB,China Equities,Equity,Multi-Cap,Blend,Emerging Asia Pacific,China,Technology
VOX,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,Telecom
MGC,Large Cap Growth Equities,Equity,Mega-Cap,Blend,North America,U.S.,
IWY,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
TFI,National Munis,Bond,,,North America,U.S.,
SPMB,Mortgage Backed Securities,Bond,,,North America,U.S.,
EWU,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,
TAN,Alternative Energy Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,Energy
SSO,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,
QTEC,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
ARKQ,All Cap Equities,Equity,Multi-Cap,Growth,Developed Markets,Broad,
HYD,National Munis,Bond,,,North America,U.S.,
SCHC,Foreign Small & Mid Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
SUSA,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
EMLC,Emerging Markets Bonds,Bond,,,Emerging Markets,Broad,
AIA,Asia Pacific Equities,Equity,Large-Cap,Blend,Broad Asia,Pacific ex-Japan,
IGM,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
SPTL,Government Bonds,Bond,,,North America,U.S.,
RDVY,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
GSY,Corporate Bonds,Bond,,,Developed Markets,Broad,
IGF,Utilities Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,Utilities
SPTS,Government Bonds,Bond,,,North America,U.S.,
USO,Oil & Gas,Commodity,,,,,
IOO,Large Cap Growth Equities,Equity,Mega-Cap,Blend,Developed Markets,Broad,
VAW,Materials,Equity,Multi-Cap,Blend,North America,U.S.,Materials
ITA,Industrials Equities,Equity,Multi-Cap,Growth,North America,U.S.,Industrials
SPHD,Volatility Hedged Equity,Equity,Multi-Cap,Blend,North America,U.S.,
DON,Mid Cap Blend Equities,Equity,Mid-Cap,Blend,North America,U.S.,
DSI,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
DLN,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
FAS,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,Financials
QCLN,Alternative Energy Equities,Equity,Multi-Cap,Blend,North America,U.S.,Energy
REET,Global Real Estate,Real Estate,Multi-Cap,Blend,Developed Markets,Broad,Real Estate
SPTI,Government Bonds,Bond,,,North America,U.S.,
PCY,Emerging Markets Bonds,Bond,,,Emerging Markets,Broad,
LIT,Commodity Producers Equities,Equity,Micro-Cap,Blend,Developed Markets,Broad,Materials
IXJ,Health & Biotech Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,Healthcare
VWOB,Emerging Markets Bonds,Bond,,,Emerging Markets,Broad,
RPG,Large Cap Growth Equities,Equity,Multi-Cap,Growth,North America,U.S.,
EWG,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,
